File	Size	md5sum	Download_link
ADN_SNR15_P_2_1.fastq.gz	13,987,191	ba603d2066a0925c5a9a4102931562de	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_SNR15_P_2_1.fastq.gz
ADN_SNR15_P_2_2.fastq.gz	18,293,578	75d3782c8519c6288adbfe3fe2a6c3c4	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_SNR15_P_2_2.fastq.gz
Tneg_S02_Ps_2_1.fastq.gz	10,460,624	323c3fed47e838695d9f7940d77b13d7	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/Tneg_S02_Ps_2_1.fastq.gz
Tneg_S02_Ps_2_2.fastq.gz	14,171,980	d414278f454d5cb7821d29dac892a937	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/Tneg_S02_Ps_2_2.fastq.gz
ADN_SNR15_P_1_1.fastq.gz	12,922,581	24e3c79d97d7b00c30e6661be5592ee5	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_SNR15_P_1_1.fastq.gz
ADN_SNR15_P_1_2.fastq.gz	15,295,421	a656cd07f51744dd4a00f82b1fe722fa	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_SNR15_P_1_2.fastq.gz
ADN_R05_Ps_2_1.fastq.gz	8,012,317	fec0ae47642189d56337ebf359138733	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_R05_Ps_2_1.fastq.gz
ADN_R05_Ps_2_2.fastq.gz	10,668,106	5bc3e1d4b92fd783466aa2ed58b79bcf	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_R05_Ps_2_2.fastq.gz
ADN_R03_Ps_1_1.fastq.gz	7,266,568	cc19e641b0bba5a6a3118f8a16e35cd2	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_R03_Ps_1_1.fastq.gz
ADN_R03_Ps_1_2.fastq.gz	9,004,747	8ca7b144f3c691261d6d61d3015391fc	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_R03_Ps_1_2.fastq.gz
ADN_R03_Ps_2_1.fastq.gz	7,051,861	f0060de1a8b05d937f9d0733958970ad	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_R03_Ps_2_1.fastq.gz
ADN_R03_Ps_2_2.fastq.gz	9,384,666	e15f314655744435a63f0831aa551f54	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_R03_Ps_2_2.fastq.gz
ADN_R05_Ps_1_1.fastq.gz	5,614,319	fad3e0cd432d80b7099b7bb87e1e418a	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_R05_Ps_1_1.fastq.gz
ADN_R05_Ps_1_2.fastq.gz	6,560,903	b8597703371f4051ee586ab9d55bb276	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_R05_Ps_1_2.fastq.gz
ADN_P07_Pg_2_1.fastq.gz	10,341,214	20fd7a6574c08678844598504ed7c2f5	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_P07_Pg_2_1.fastq.gz
ADN_P07_Pg_2_2.fastq.gz	13,987,795	58c3fa0ce57ad2fd05e337e5dedd459f	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_P07_Pg_2_2.fastq.gz
ADN_P07_Pg_1_1.fastq.gz	7,369,490	efe9b29bf66ec088250aaf9525e08838	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_P07_Pg_1_1.fastq.gz
ADN_P07_Pg_1_2.fastq.gz	10,251,595	0bfba4a9b3058a78eb918124c70ada2d	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_P07_Pg_1_2.fastq.gz
ADN_R14_Pg_1_1.fastq.gz	6,597,259	2d6cdcd1be43229d50d600840cdcbef0	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_R14_Pg_1_1.fastq.gz
ADN_R14_Pg_1_2.fastq.gz	8,467,169	d5213a5dca7d7fa0d306f7ff72de3f54	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_R14_Pg_1_2.fastq.gz
ADN_R14_Pg_2_1.fastq.gz	9,853,626	f510de89892921d3c7b7de7159ac72c6	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_R14_Pg_2_1.fastq.gz
ADN_R14_Pg_2_2.fastq.gz	12,769,235	8a1b3b9ee4a823d7154f4dd3611e79c1	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_R14_Pg_2_2.fastq.gz
Tneg_R03_Pg_1_1.fastq.gz	8,518,766	94d827026abfa319d9f549e4cc25f1fd	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/Tneg_R03_Pg_1_1.fastq.gz
Tneg_R03_Pg_1_2.fastq.gz	10,138,063	c0696dd71ad11356ee321e9039a50a64	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/Tneg_R03_Pg_1_2.fastq.gz
Tneg_S02_Ps_1_1.fastq.gz	2,097,791	645ef6e32f09d0e0c327058bb3a044c5	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/Tneg_S02_Ps_1_1.fastq.gz
Tneg_S02_Ps_1_2.fastq.gz	2,255,518	f05e35f644b39f7195da2306797d858f	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/Tneg_S02_Ps_1_2.fastq.gz
ADN_S02_Pg_1_1.fastq.gz	7,539,052	a8d098f492774150a8b9b937a8c07d37	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_S02_Pg_1_1.fastq.gz
ADN_S02_Pg_1_2.fastq.gz	8,829,452	418db9738bac7d5506c1b290fc440954	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_S02_Pg_1_2.fastq.gz
ADN_R13_Pg_1_1.fastq.gz	8,998,179	127f6a28aad73bdb95f1587a4e77e337	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_R13_Pg_1_1.fastq.gz
ADN_R13_Pg_1_2.fastq.gz	11,948,404	62a9856159469deeacf236a6f60f5971	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_R13_Pg_1_2.fastq.gz
ADN_R13_Pg_2_1.fastq.gz	11,190,386	370b909e6e9b0fd005724e46b5cdb499	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_R13_Pg_2_1.fastq.gz
ADN_R13_Pg_2_2.fastq.gz	14,541,295	2744c14214dd35a9a7d8f65ceeb7b880	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_R13_Pg_2_2.fastq.gz
ADN_S02_Pg_2_1.fastq.gz	8,011,286	e29b8e20583ab883bdf6f007fa2338c9	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_S02_Pg_2_1.fastq.gz
ADN_S02_Pg_2_2.fastq.gz	10,193,291	85c61dff58244c34317ac5c926e082f2	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_S02_Pg_2_2.fastq.gz
Tneg_S03_Ps_2_1.fastq.gz	9,415,062	a8b665728c1da9a367c816c087f37c76	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/Tneg_S03_Ps_2_1.fastq.gz
Tneg_S03_Ps_2_2.fastq.gz	12,955,286	5fb7dbf04b947596d25b6a735b440481	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/Tneg_S03_Ps_2_2.fastq.gz
ADN_F16_Ps_2_1.fastq.gz	7,652,123	f00fb5c87bb077313b8fbf87ecca0fa3	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_F16_Ps_2_1.fastq.gz
ADN_F16_Ps_2_2.fastq.gz	10,792,009	491074487c936012c409130988047e18	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_F16_Ps_2_2.fastq.gz
ADN_SNR01_P_1_1.fastq.gz	11,821,268	c16e0775f02230c2fe86e4476b717205	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_SNR01_P_1_1.fastq.gz
ADN_SNR01_P_1_2.fastq.gz	13,485,084	40bc2bae632be8ed504f91ec772916cc	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_SNR01_P_1_2.fastq.gz
ADN_R06_Ps_1_1.fastq.gz	6,240,001	6008c7ff3d4674bc3864dfe71dd60792	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_R06_Ps_1_1.fastq.gz
ADN_R06_Ps_1_2.fastq.gz	7,982,824	28e8ac741f16c630925a01ef91b588dc	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_R06_Ps_1_2.fastq.gz
ADN_F16_Ps_1_1.fastq.gz	5,214,112	32dfbc637ef44e11b2453d3017045422	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_F16_Ps_1_1.fastq.gz
ADN_F16_Ps_1_2.fastq.gz	8,012,552	2569043714c11f1c58d3efa8c16cfad5	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_F16_Ps_1_2.fastq.gz
ADN_SNR06_P_2_1.fastq.gz	10,824,826	f44a13839cc3413fdac2003e7d676e4c	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_SNR06_P_2_1.fastq.gz
ADN_SNR06_P_2_2.fastq.gz	13,983,977	97f670378cbefaaa7f346131a0557d0a	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_SNR06_P_2_2.fastq.gz
ADN_SNR06_P_1_1.fastq.gz	11,112,450	0df19a55531fdec076cec32afdd5c3a2	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_SNR06_P_1_1.fastq.gz
ADN_SNR06_P_1_2.fastq.gz	13,000,743	ae9ba6f97622dcea08fe898efd581c80	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_SNR06_P_1_2.fastq.gz
ADN_S09_Pg_1_1.fastq.gz	6,995,934	6b7b6259caa372633137a2c44edac2e2	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_S09_Pg_1_1.fastq.gz
ADN_S09_Pg_1_2.fastq.gz	8,438,439	ff335351bd094559cdf809946fc0b179	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_S09_Pg_1_2.fastq.gz
ADN_S09_Pg_2_1.fastq.gz	10,589,431	f5e57722b4f420c926a924c8e2ce1341	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_S09_Pg_2_1.fastq.gz
ADN_S09_Pg_2_2.fastq.gz	13,479,171	eec839d6b5bb6cb4cd79550ab5799ab8	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_S09_Pg_2_2.fastq.gz
Tneg_S03_Pg_1_1.fastq.gz	8,067,226	e85bde71a279f16f9b1b750a277e4260	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/Tneg_S03_Pg_1_1.fastq.gz
Tneg_S03_Pg_1_2.fastq.gz	9,814,608	82808bb5cfe74a9207f1c85405bacaec	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/Tneg_S03_Pg_1_2.fastq.gz
ADN_P09_Ps_1_1.fastq.gz	8,353,334	ea2fa86491c36eb1677bcb4576ebeeef	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_P09_Ps_1_1.fastq.gz
ADN_P09_Ps_1_2.fastq.gz	11,295,310	ed576a351fc143b2adc8fe950b36b96c	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_P09_Ps_1_2.fastq.gz
ADN_P09_Ps_2_1.fastq.gz	6,164,827	cd8bb20762679dd78ad0916bdaefce4a	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_P09_Ps_2_1.fastq.gz
ADN_P09_Ps_2_2.fastq.gz	8,984,403	c523ff3ab12d8a68cb28b4fefe335c2f	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_P09_Ps_2_2.fastq.gz
Tneg_S03_Pg_2_1.fastq.gz	7,358,104	e8ef36745482c6f1074daf3386a5004b	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/Tneg_S03_Pg_2_1.fastq.gz
Tneg_S03_Pg_2_2.fastq.gz	10,800,471	276afd515409877c7d632b51994bf050	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/Tneg_S03_Pg_2_2.fastq.gz
ADN_S22_Ps_2_1.fastq.gz	10,995,010	8429737e3e6841dd8647d39544b9d0a8	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_S22_Ps_2_1.fastq.gz
ADN_S22_Ps_2_2.fastq.gz	14,457,647	00f936e696012914564d06da4602d7a5	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_S22_Ps_2_2.fastq.gz
ADN_SNR03_P_2_1.fastq.gz	14,313,323	89a0180bf9febd7488408eb75963f807	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_SNR03_P_2_1.fastq.gz
ADN_SNR03_P_2_2.fastq.gz	18,045,941	30db83cd98fd958580e723994a1fa3d6	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_SNR03_P_2_2.fastq.gz
ADN_SNR03_P_1_1.fastq.gz	15,063,952	3acd9c8f00359f3476493a86c84d06b4	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_SNR03_P_1_1.fastq.gz
ADN_SNR03_P_1_2.fastq.gz	17,387,454	9c730ef57c9c998d058cb8b9223be21e	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_SNR03_P_1_2.fastq.gz
ADN_S22_Ps_1_1.fastq.gz	10,905,264	5f3e4c09aca636d03afd84ade3af3941	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_S22_Ps_1_1.fastq.gz
ADN_S22_Ps_1_2.fastq.gz	12,865,217	69b80e8c822531e7702d0047bf613865	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_S22_Ps_1_2.fastq.gz
ADN_G07_Pg_2_1.fastq.gz	10,430,917	ae80a327233fb21ed9138418a239bf74	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_G07_Pg_2_1.fastq.gz
ADN_G07_Pg_2_2.fastq.gz	14,075,891	a3474703edcfb5fb784fcc62d8bf7152	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_G07_Pg_2_2.fastq.gz
ADN_G07_Pg_1_1.fastq.gz	6,707,358	f94533414621fddfb1abeab7f8b3fe32	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_G07_Pg_1_1.fastq.gz
ADN_G07_Pg_1_2.fastq.gz	9,453,731	6df1c287c5f7bae2e06500a3454cb6cb	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_G07_Pg_1_2.fastq.gz
ADN_S05_Pg_1_1.fastq.gz	8,624,862	9af034715f0d2f0b156a62ef6837a863	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_S05_Pg_1_1.fastq.gz
ADN_S05_Pg_1_2.fastq.gz	10,254,743	05fae5110e36ba6a92afe09b3478213b	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_S05_Pg_1_2.fastq.gz
Tneg_G02_Pg_2_1.fastq.gz	7,878,937	5c396bcf5ced633868073a311e8a2b68	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/Tneg_G02_Pg_2_1.fastq.gz
Tneg_G02_Pg_2_2.fastq.gz	10,959,996	fc59cc73657c3334cf060b1a4176d43d	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/Tneg_G02_Pg_2_2.fastq.gz
ADN_S05_Pg_2_1.fastq.gz	9,777,105	69ee0435797ebab13f6f8c5bccba70f5	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_S05_Pg_2_1.fastq.gz
ADN_S05_Pg_2_2.fastq.gz	12,459,081	f30ffa64331f9867d08024a60d59d6db	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_S05_Pg_2_2.fastq.gz
ADN_S04_Pg_2_1.fastq.gz	11,478,801	9e6a63e4a187acfcbeafc896f415d7e0	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_S04_Pg_2_1.fastq.gz
ADN_S04_Pg_2_2.fastq.gz	14,639,479	92e952e9a484dc2bdbb79f720dfe2737	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_S04_Pg_2_2.fastq.gz
ADN_P08_Pg_1_1.fastq.gz	6,910,483	d347da4ec2dadbcf5cbe0a1b8e8ef2b0	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_P08_Pg_1_1.fastq.gz
ADN_P08_Pg_1_2.fastq.gz	8,223,398	003b35629e7c1fe846e3a2c2248d95c6	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_P08_Pg_1_2.fastq.gz
Tneg_S01_Pg_2_1.fastq.gz	10,225,050	c551af725137225c68a6e7a0371de79f	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/Tneg_S01_Pg_2_1.fastq.gz
Tneg_S01_Pg_2_2.fastq.gz	13,394,288	86a6dc67d731d3d7481359fd1f1e7d0a	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/Tneg_S01_Pg_2_2.fastq.gz
ADN_SNR12_P_2_1.fastq.gz	12,347,197	3b5bd72c78ddbc0705de683f4042e637	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_SNR12_P_2_1.fastq.gz
ADN_SNR12_P_2_2.fastq.gz	16,375,970	5a4cf2b222aa96b621d0d2c229ac16e2	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_SNR12_P_2_2.fastq.gz
ADN_F16_Pg_2_1.fastq.gz	9,089,348	97aefb5db2b2017521c8e9c338f9791d	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_F16_Pg_2_1.fastq.gz
ADN_F16_Pg_2_2.fastq.gz	12,724,816	743a3b3b83891bf92758f4f350f1ecd8	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_F16_Pg_2_2.fastq.gz
ADN_P08_Pg_2_1.fastq.gz	9,424,781	697b32edae1bf9d76dcb1a9b3b2c2e5a	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_P08_Pg_2_1.fastq.gz
ADN_P08_Pg_2_2.fastq.gz	11,347,589	6661fcb0b5eba48049b6ac5b1ec19593	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_P08_Pg_2_2.fastq.gz
ADN_F16_Pg_1_1.fastq.gz	5,651,492	3392dda2dd238be85517ea03d7534094	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_F16_Pg_1_1.fastq.gz
ADN_F16_Pg_1_2.fastq.gz	7,998,482	d1992c2654f0f1064bcd98566d71fb32	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_F16_Pg_1_2.fastq.gz
ADN_G05_Pg_1_1.fastq.gz	6,215,234	41c1d58d8d938a530b1cf62e68b5e1b2	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_G05_Pg_1_1.fastq.gz
ADN_G05_Pg_1_2.fastq.gz	8,504,565	d5e8c5a8e90b3bc7653e71073f488870	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_G05_Pg_1_2.fastq.gz
ADN_G05_Pg_2_1.fastq.gz	9,343,983	5404f24c73b948266f6fbe463501113d	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_G05_Pg_2_1.fastq.gz
ADN_G05_Pg_2_2.fastq.gz	12,806,343	4d31cad9b387150a1099d1bc74942a6a	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_G05_Pg_2_2.fastq.gz
ADN_R14_Ps_1_1.fastq.gz	8,260,151	67ee7c84be0f5c2fee03330bd21863d4	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_R14_Ps_1_1.fastq.gz
ADN_R14_Ps_1_2.fastq.gz	10,562,037	8f88d266696dd98ec3447a9d95529975	https://data.macrogen.com/~macro3/HiSeq02/20230523/HN00186490/ADN_R14_Ps_1_2.fastq.gz
