Sample_ID;Sample;Species;Compartment;Compartment_2;Species_Compartment;Species_Compartment_2;Behavior
ADN_F02_Pg;ADN_F02_Pg;Pg;Leaves;Aerial compartments;Pg_Leaves;Pg_Aerial compartments;Ni-HA
ADN_F03_Pg;ADN_F03_Pg;Pg;Leaves;Aerial compartments;Pg_Leaves;Pg_Aerial compartments;Ni-HA
ADN_F04_Pg;ADN_F04_Pg;Pg;Leaves;Aerial compartments;Pg_Leaves;Pg_Aerial compartments;Ni-HA
ADN_F05_Pg;ADN_F05_Pg;Pg;Leaves;Aerial compartments;Pg_Leaves;Pg_Aerial compartments;Ni-HA
ADN_F06_Pg;ADN_F06_Pg;Pg;Leaves;Aerial compartments;Pg_Leaves;Pg_Aerial compartments;Ni-HA
ADN_F07_Pg;ADN_F07_Pg;Pg;Leaves;Aerial compartments;Pg_Leaves;Pg_Aerial compartments;Ni-HA
ADN_F08_Pg;ADN_F08_Pg;Pg;Leaves;Aerial compartments;Pg_Leaves;Pg_Aerial compartments;Ni-HA
ADN_F09_Pg;ADN_F09_Pg;Pg;Leaves;Aerial compartments;Pg_Leaves;Pg_Aerial compartments;Ni-HA
ADN_F10_Pg;ADN_F10_Pg;Pg;Leaves;Aerial compartments;Pg_Leaves;Pg_Aerial compartments;Ni-HA
ADN_F11_Pg;ADN_F11_Pg;Pg;Leaves;Aerial compartments;Pg_Leaves;Pg_Aerial compartments;Ni-HA
ADN_F12_Pg;ADN_F12_Pg;Pg;Leaves;Aerial compartments;Pg_Leaves;Pg_Aerial compartments;Ni-HA
ADN_F13_Pg;ADN_F13_Pg;Pg;Leaves;Aerial compartments;Pg_Leaves;Pg_Aerial compartments;Ni-HA
ADN_F14_Pg;ADN_F14_Pg;Pg;Leaves;Aerial compartments;Pg_Leaves;Pg_Aerial compartments;Ni-HA
ADN_F15_Pg;ADN_F15_Pg;Pg;Leaves;Aerial compartments;Pg_Leaves;Pg_Aerial compartments;Ni-HA
ADN_F16_Pg;ADN_F16_Pg;Pg;Leaves;Aerial compartments;Pg_Leaves;Pg_Aerial compartments;Ni-HA
ADN_F17_Pg;ADN_F17_Pg;Pg;Leaves;Aerial compartments;Pg_Leaves;Pg_Aerial compartments;Ni-HA
ADN_P01_Pg;ADN_P01_Pg;Pg;Pulps;Aerial compartments;Pg_Pulps;Pg_Aerial compartments;Ni-HA
ADN_P02_Pg;ADN_P02_Pg;Pg;Pulps;Aerial compartments;Pg_Pulps;Pg_Aerial compartments;Ni-HA
ADN_P03_Pg;ADN_P03_Pg;Pg;Pulps;Aerial compartments;Pg_Pulps;Pg_Aerial compartments;Ni-HA
ADN_P04_Pg;ADN_P04_Pg;Pg;Pulps;Aerial compartments;Pg_Pulps;Pg_Aerial compartments;Ni-HA
ADN_P05_Pg;ADN_P05_Pg;Pg;Pulps;Aerial compartments;Pg_Pulps;Pg_Aerial compartments;Ni-HA
ADN_P06_Pg;ADN_P06_Pg;Pg;Pulps;Aerial compartments;Pg_Pulps;Pg_Aerial compartments;Ni-HA
ADN_P07_Pg;ADN_P07_Pg;Pg;Pulps;Aerial compartments;Pg_Pulps;Pg_Aerial compartments;Ni-HA
ADN_P08_Pg;ADN_P08_Pg;Pg;Pulps;Aerial compartments;Pg_Pulps;Pg_Aerial compartments;Ni-HA
ADN_P09_Pg;ADN_P09_Pg;Pg;Pulps;Aerial compartments;Pg_Pulps;Pg_Aerial compartments;Ni-HA
ADN_P10_Pg;ADN_P10_Pg;Pg;Pulps;Aerial compartments;Pg_Pulps;Pg_Aerial compartments;Ni-HA
